author,title,description,content,date
Kirsten Korosec,Uber Freight expands app to Canada,"Uber Freight, the Uber business unit that helps truck drivers connect with shipping companies, said Wednesday it’s launching the app in Canada as part of its global expansion plan. The move into Canada will give Uber Freight access to the country’s $68 billio…","Uber Freight, the Uber business unit that helps truck drivers connect with shipping companies, said Wednesday it’s launching the app in Canada as part of its global expansion plan.
The move into Canada will give Uber Freight access to the country’s $68 billi… [+2181 chars]",2019-10-30T11:37:16Z
Ian Austen and Dan Bilefsky,Canada Votes Today. Here’s What You Need to Know,Prime Minister Justin Trudeau faces the political battle of his life in a tight race.,"Mr. Scheers authenticity was also challenged when it emerged during the campaign that he has also held United States citizenship most of his life.
Jagmeet Singh, the 40-year-old leader of the N.D.P., made history as the first nonwhite person to lead a major … [+1008 chars]",2019-10-21T09:00:14Z
Josh Ocampo,Should You Book a Flight Through an Airline You've Never Heard of?,"In your quest to find an especially great deal for a flight, you’ll likely come across airlines that seem made up—take Bearskin Airlines, for example, which operates out of Ontario, Canada and is very real. Or Chair Airlines, a Swiss airline that flies throug…","In your quest to find an especially great deal for a flight, youll likely come across airlines that seem made uptake Bearskin Airlines, for example, which operates out of Ontario, Canada and is very real. Or Chair Airlines, a Swiss airline that flies througho… [+4057 chars]",2019-10-24T17:30:00Z
"David Shortell, CNN",Justice Department sues California over air pollution agreement with Canada,"The Justice Department sued California on Wednesday, claiming that the state bypassed federal authority when it entered into an environmental agreement with the Canadian province of Quebec to combat air pollution.","Washington (CNN)The Justice Department sued California on Wednesday, claiming that the state bypassed federal authority when it entered into an environmental agreement with the Canadian province of Quebec to combat air pollution. 
In a complaint filed in Cal… [+2123 chars]",2019-10-23T16:19:49Z
The Editorial Board,"Justin Trudeau, Humbled, Gets a Second Chance","He survived scandal and self-inflicted wounds, but will have to lead Canada as part of a coalition with progressive parties.","Justin Trudeaus victory in Canadas national elections on Monday followed what he called one of the nastiest campaigns in Canadian history. That may be true, to the degree that much of the campaign was about him and some bad decisions he made, and it featured … [+1505 chars]",2019-10-22T23:28:52Z
Catherine Shu,Fabric raises $110 million Series B to expand its network of automated fulfillment centers in the U.S.,"Fabric, the startup that wants to make automated logistics available to retailers of all sizes, announced today it has raised $110 million in Series B funding. The round was led by Corner Ventures, with participation from Aleph, Canada Pension Plan Investment…","Fabric, the startup that wants to make automated logistics available to retailers of all sizes, announced today it has raised $110 million in Series B funding. The round was led by Corner Ventures, with participation from Aleph, Canada Pension Plan Investment… [+3387 chars]",2019-10-23T11:00:10Z
Ed Cara,Canadian Therapist Gives Up License After Satanists Expose Her 'Mind Control' Talks,"Activists with The Satanic Temple say a now-former therapist in Canada has been pushing conspiracies about globe-spanning, mind-controlling cults for years. And after they exposed some of her professional talks to her licensing board, she voluntarily gave up …","Activists with The Satanic Temple say a now-former therapist in Canada has been pushing conspiracies about globe-spanning, mind-controlling cults for years. And after they exposed some of her professional talks to her licensing board, she voluntarily gave up … [+11388 chars]",2019-11-05T18:10:00Z
Daniel J. Rowe,Air Canada staff will no longer greet 'ladies and gentlemen' onboard planes - CTV News,Air Canada staff will no longer greet 'ladies and gentlemen' onboard planes CTV News Air Canada drops ‘ladies and gentlemen’ for gender neutral ‘everyone’ NEWS.com.au Air Canada Will Now Use Gender Neutral Announcements Onboard Flights Simple Flying Air Canad…,"MONTREAL -- Flight attendants at Air Canada will no longer greet passengers as ""ladies and gentlemen"" or ""mesdames et messieurs"" as they have for years.
Flight staff will no longer use gender terms in boarding announcements as the company will be replacing s… [+536 chars]",2019-10-13T13:58:00Z
Parker Cleveland,Nations League recap - USA 0-2 Canada: An abysmal loss up north - Stars and Stripes FC,"Nations League recap - USA 0-2 Canada: An abysmal loss up north Stars and Stripes FC Canada vs. United States - Football Match Report - October 15, 2019 ESPN BTC: USMNT Efficient vs. Cuba in Nations League U.S. Soccer Canada 2, United States 0 | 2019 Concacaf…","The US Mens National Team was back in Nations League action as it looked for its second win of the tournament at BMO Field in Canada. It would not come for the Americans. Rather, Canada was determined to play defensively and try to counter or take advantage o… [+4541 chars]",2019-10-16T01:54:16Z
Connor Garel,Air Canada Will No Longer Call Passengers ‘Ladies And Gentlemen’ - HuffPost Canada,Air Canada Will No Longer Call Passengers ‘Ladies And Gentlemen’ HuffPost Canada View full coverage on Google News,"Most airlines have shared a similar greeting tradition for decades: a scripted announcement that plays through the overhead speakers after passengers find their seats. But in a newfound effort to be more inclusive, and more conscious of how people identify, A… [+4455 chars]",2019-10-15T19:30:25Z
